filename,num_vesicles,area_vesicles,area_percent,ID,decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),Plate,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
D07,10,4167.3226549868605,0.0039742685842388,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,6,2108.7940687221485,0.0020111027419301,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,5,1614.7786239451536,0.0015399729003383,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,26,8743.837753103793,0.0083387734919584,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,10,4167.3226549868605,0.0039742685842388,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,6,2108.7940687221485,0.0020111027419301,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,5,1614.7786239451536,0.0015399729003383,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,26,8743.837753103793,0.0083387734919584,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,10,4167.3226549868605,0.0039742685842388,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,6,2108.7940687221485,0.0020111027419301,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,5,1614.7786239451536,0.0015399729003383,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,26,8743.837753103793,0.0083387734919584,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,10,4167.3226549868605,0.0039742685842388,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,6,2108.7940687221485,0.0020111027419301,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,5,1614.7786239451536,0.0015399729003383,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D07,26,8743.837753103793,0.0083387734919584,C01,3.125,0.35,1.875,0.98,0.77,0.735,0.136,1,0.1796,0.1586,0.1228,0.0926,0.0868,0.0836,0.0804,0.0787,0.0764,0.0746,0.0724,0.0709,0.0698,0.0691,0.0682,0.0676,0.0675,0.0668,0.0662,0.065,0.0647,0.0633,0.0628,0.0623,0.0618,0.0612,0.0601,0.0595,0.0594,0.0591,0.0578,0.0573,0.0576,0.0566,0.0557,0.0551
D21,125,49490.29447016341,0.0471976227475771,D03,4.375,4.45,1.175,1.475,1.05,0.0255,0.092,1,0.1945,0.1723,0.1358,0.1041,0.0973,0.0934,0.0894,0.0871,0.0845,0.0819,0.0797,0.0782,0.0764,0.0748,0.0732,0.0725,0.0712,0.0694,0.0684,0.0673,0.0668,0.0661,0.0649,0.0644,0.0639,0.0633,0.0627,0.0636,0.0619,0.0614,0.0602,0.0603,0.0596,0.059,0.0576,0.0574
D21,170,81235.30283652488,0.0774720219006775,D03,4.375,4.45,1.175,1.475,1.05,0.0255,0.092,1,0.1945,0.1723,0.1358,0.1041,0.0973,0.0934,0.0894,0.0871,0.0845,0.0819,0.0797,0.0782,0.0764,0.0748,0.0732,0.0725,0.0712,0.0694,0.0684,0.0673,0.0668,0.0661,0.0649,0.0644,0.0639,0.0633,0.0627,0.0636,0.0619,0.0614,0.0602,0.0603,0.0596,0.059,0.0576,0.0574
D21,157,67972.28405123216,0.0648234215271302,D03,4.375,4.45,1.175,1.475,1.05,0.0255,0.092,1,0.1945,0.1723,0.1358,0.1041,0.0973,0.0934,0.0894,0.0871,0.0845,0.0819,0.0797,0.0782,0.0764,0.0748,0.0732,0.0725,0.0712,0.0694,0.0684,0.0673,0.0668,0.0661,0.0649,0.0644,0.0639,0.0633,0.0627,0.0636,0.0619,0.0614,0.0602,0.0603,0.0596,0.059,0.0576,0.0574
D21,249,125286.71502516096,0.119482722306405,D03,4.375,4.45,1.175,1.475,1.05,0.0255,0.092,1,0.1945,0.1723,0.1358,0.1041,0.0973,0.0934,0.0894,0.0871,0.0845,0.0819,0.0797,0.0782,0.0764,0.0748,0.0732,0.0725,0.0712,0.0694,0.0684,0.0673,0.0668,0.0661,0.0649,0.0644,0.0639,0.0633,0.0627,0.0636,0.0619,0.0614,0.0602,0.0603,0.0596,0.059,0.0576,0.0574
